Track.Name,Artist.Name
Señorita,Shawn Mendes
China,Anuel AA
boyfriend (with Social House),Ariana Grande
Beautiful People (feat. Khalid),Ed Sheeran
Goodbyes (Feat. Young Thug),Post Malone
I Don't Care (with Justin Bieber),Ed Sheeran
Ransom,Lil Tecca
How Do You Sleep?,Sam Smith
Old Town Road - Remix,Lil Nas X
bad guy,Billie Eilish
Callaita,Bad Bunny
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake
Someone You Loved,Lewis Capaldi
Otro Trago - Remix,Sech
Money In The Grave (Drake ft. Rick Ross),Drake
No Guidance (feat. Drake),Chris Brown
LA CANCIÓN,J Balvin
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Lalala,Y2K
Truth Hurts,Lizzo
Piece Of Your Heart,MEDUZA
Panini,Lil Nas X
No Me Conoce - Remix,Jhay Cortez
Soltera - Remix,Lunay
bad guy (with Justin Bieber),Billie Eilish
If I Can't Have You,Shawn Mendes
Dance Monkey,Tones and I
It's You,Ali Gatie
Con Calma,Daddy Yankee
QUE PRETENDES,J Balvin
Takeaway,The Chainsmokers
7 rings,Ariana Grande
0.958333333,Maluma
The London (feat. J. Cole & Travis Scott),Young Thug
Never Really Over,Katy Perry
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix
Otro Trago,Sech
Antisocial (with Travis Scott),Ed Sheeran
Sucker,Jonas Brothers
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv
Higher Love,Kygo
You Need To Calm Down,Taylor Swift
Shallow,Lady Gaga
Talk,Khalid
Con Altura,ROSALÍA
One Thing Right,Marshmello
Te Robaré,Nicky Jam
Happier,Marshmello
Call You Mine,The Chainsmokers
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
